1,"","","","","","","","","","",""
JACKSON PURCHASE MEDICAL CENTER ,93 ,0 ,93 ,93 ,"4,586 ","16,136 ","4,582 ","16,132 ",44 ,3.5 ,47.5%
LOURDES HOSPITAL ,286 ,45 ,331 ,198 ,"9,782 ","47,056 ","9,753 ","48,430 ",129 ,5.0 ,38.9%
MARSHALL COUNTY HOSPITAL ,46 ,0 ,46 ,46 ,966 ,"3,661 ",955 ,"3,615 ",10 ,3.8 ,21.8%
MURRAY CALLOWAY COUNTY HOSPITAL ,140 ,0 ,140 ,97 ,"5,872 ","27,508 ","5,911 ","26,826 ",75 ,4.5 ,53.8%
PARKWAY REGIONAL HOSPITAL ,50 ,0 ,50 ,50 ,"2,090 ","6,943 ","2,084 ","6,925 ",19 ,3.3 ,38.0%
WESTERN BAPTIST HOSPITAL ,349 ,0 ,349 ,285 ,"13,095 ","63,239 ","13,065 ","63,044 ",173 ,4.8 ,49.6%
"",964 ,45 ,"1,009 ",769 ,"36,391 ","164,543 ","36,350 ","164,972 ",451 ,4.5 ,44.7%
2,"","","","","","","","","","",""
CALDWELL COUNTY HOSPITAL INC ,48 ,0 ,48 ,48 ,"1,075 ","3,252 ","1,072 ","3,258 ",9 ,3.0 ,18.6%
CRITTENDEN COUNTY HOSPITAL ,48 ,0 ,48 ,48 ,"1,795 ","5,847 ","1,803 ","5,867 ",16 ,3.3 ,33.4%
FHC CUMBERLAND HALL ,0 ,48 ,48 ,48 ,"1,236 ","15,132 ","1,267 ","19,449 ",41 ,15.4 ,86.4%
JENNIE STUART MEDICAL CENTER INC ,194 ,0 ,194 ,156 ,"6,186 ","26,549 ","6,212 ","25,925 ",73 ,4.2 ,37.5%
LIVINGSTON HOSP AND HEALTHCARE SVCS ,26 ,0 ,26 ,26 ,"1,288 ","4,460 ","1,290 ","4,474 ",12 ,3.5 ,47.0%
INC,"","","","","","","","","","",""
