1 PURCHASE,"","","","","","","","","","",""
Jackson Purchase Medical Center ,107 ,0 ,107 ,97 ,"4,231 ","16,529 ","4,209 ","16,494 ",45 ,3.9 ,42.2%
Lourdes Hospital ,286 ,45 ,331 ,227 ,"12,071 ","57,001 ","12,121 ","57,530 ",156 ,4.7 ,47.1%
Murray Calloway County Hospital ,140 ,0 ,140 ,105 ,"4,630 ","21,760 ","4,979 ","21,510 ",59 ,4.3 ,42.5%
Parkway Regional Hospital ,50 ,0 ,50 ,50 ,"1,369 ","3,926 ","1,368 ","4,231 ",11 ,3.1 ,21.5%
Western Baptist Hospital ,349 ,0 ,349 ,294 ,"13,254 ","64,408 ","13,419 ","64,446 ",176 ,4.8 ,50.4%
"",932 ,45 ,977 ,773 ,"35,555 ","163,624 ","36,096 ","164,211 ",447 ,4.5 ,45.8%
2 PENNYRILE,"","","","","","","","","","",""
Crittenden County Hospital ,48 ,0 ,48 ,48 ,"1,648 ","5,911 ","1,647 ","5,911 ",16 ,3.6 ,33.6%
Cumberland Hall ,0 ,52 ,52 ,52 ,"1,176 ","11,975 ","1,181 ","12,058 ",33 ,10.2 ,62.9%
Jennie Stuart Medical Center ,194 ,0 ,194 ,139 ,"7,051 ","30,148 ","7,076 ","28,773 ",82 ,4.1 ,42.5%
Muhlenberg Community Hospital ,90 ,0 ,90 ,90 ,"2,718 ","10,283 ","2,706 ","10,356 ",28 ,3.8 ,31.2%
Regional Medical Center of Hopkins Co ,348 ,22 ,370 ,162 ,"9,538 ","39,297 ","9,085 ","38,350 ",107 ,4.2 ,29.0%
Western State Hospital ,0 ,495 ,495 ,222 ,"2,010 ","36,850 ","2,025 ","37,854 ",101 ,18.7 ,20.3%
"",680 ,569 ,"1,249 ",713 ,"24,141 ","134,464 ","23,720 ","133,302 ",367 ,5.6 ,29.4%
3 GREEN RIVER,"","","","","","","","","","",""
Methodist Hospital ,184 ,8 ,192 ,184 ,"6,147 ","26,936 ","6,123 ","26,612 ",74 ,4.3 ,38.3%
Owensboro Medical Health System ,415 ,12 ,427 ,340 ,"17,877 ","72,477 ","17,880 ","71,630 ",198 ,4.0 ,46.4%
River Valley Behavioral Health ,0 ,80 ,80 ,80 ,580 ,"17,920 ",574 ,"17,920 ",49 ,31.2 ,61.2%
"",599 ,100 ,699 ,604 ,"24,604 ","117,333 ","24,577 ","116,162 ",321 ,4.7 ,45.9%
4 BARREN RIVER,"","","","","","","","","","",""
Greenview Regional Hospital ,211 ,0 ,211 ,211 ,"3,633 ","15,173 ","3,635 ","15,181 ",41 ,4.2 ,19.6%
Logan Memorial Hospital ,92 ,0 ,92 ,53 ,"1,746 ","7,621 ","1,834 ","7,910 ",21 ,4.3 ,22.6%
Monroe County Medical Center ,49 ,0 ,49 ,49 ,"2,275 ","9,954 ","2,271 ","9,945 ",27 ,4.4 ,55.5%
Rivendell Behavioral Health Services ,0 ,125 ,125 ,125 ,660 ,"30,454 ",657 ,"29,445 ",83 ,44.8 ,66.6%
T J Samson Community Hospital ,180 ,0 ,180 ,180 ,"7,360 ","26,757 ","7,372 ","26,891 ",73 ,3.6 ,40.6%
The Medical Center At Bowling Green ,266 ,36 ,302 ,272 ,"15,370 ","76,855 ","16,068 ","76,883 ",210 ,4.8 ,69.5%
"",798 ,161 ,959 ,890 ,"31,044 ","166,814 ","31,837 ","166,255 ",456 ,5.2 ,47.5%
5 LINCOLN TRAIL,"","","","","","","","","","",""
Flaget Memorial Hospital ,40 ,0 ,40 ,40 ,"2,375 ","7,355 ","2,371 ","7,365 ",20 ,3.1 ,50.2%
Hardin Memorial Hospital ,270 ,15 ,285 ,253 ,"11,918 ","54,593 ","11,936 ","54,409 ",149 ,4.6 ,52.3%
Lincoln Trail Behavioral Health System ,0 ,87 ,87 ,87 ,"1,038 ","19,594 ",992 ,"18,586 ",54 ,18.7 ,61.5%
Spring View Hospital ,75 ,0 ,75 ,75 ,"2,100 ","7,766 ","2,088 ","7,841 ",21 ,3.8 ,28.3%
Twin Lakes Regional Medical Center ,75 ,0 ,75 ,75 ,"3,117 ","11,696 ","3,124 ","12,589 ",32 ,4.0 ,42.6%
"",460 ,102 ,562 ,530 ,"20,548 ","101,004 ","20,511 ","100,790 ",276 ,4.9 ,49.1%
6 KIPDA,"","","","","","","","","","",""
Baptist Hospital East ,468 ,22 ,490 ,490 ,"26,451 ","122,870 ","26,384 ","126,918 ",336 ,4.8 ,68.5%
Baptist Hospital Northeast ,65 ,0 ,65 ,65 ,"3,312 ","12,478 ","3,306 ","12,664 ",34 ,3.8 ,52.5%
Central State Hospital ,0 ,192 ,192 ,112 ,"1,131 ","29,116 ","1,153 ","37,946 ",80 ,32.9 ,41.4%
Jewish Hospital ,412 ,20 ,432 ,432 ,"20,875 ","121,818 ","20,883 ","122,119 ",333 ,5.8 ,77.0%
Jewish Hospital Shelbyville ,70 ,0 ,70 ,67 ,"2,328 ","10,244 ","2,318 ","10,213 ",28 ,4.4 ,40.0%
Kentucky Correctional Psychiatric Ctr ,0 ,97 ,97 ,87 ,657 ,"23,716 ",661 ,"25,552 ",65 ,38.7 ,66.8%
Norton Audubon Hospital ,432 ,0 ,432 ,285 ,"13,078 ","66,502 ","13,110 ","66,708 ",182 ,5.1 ,42.1%
Norton Hsp/Kosair Chdrn Hsp/Norton ,859 ,66 ,925 ,610 ,"27,447 ","159,057 ","27,324 ","160,554 ",435 ,5.9 ,47.0%
Norton Suburban Hospital ,373 ,0 ,373 ,363 ,"17,373 ","80,707 ","17,287 ","79,644 ",221 ,4.6 ,59.1%
Our Lady of Peace ,0 ,396 ,396 ,243 ,"3,825 ","77,814 ","3,794 ","78,130 ",213 ,20.6 ,53.7%
Saints Mary And Elizabeth Hospital ,298 ,0 ,298 ,203 ,"12,108 ","57,573 ","12,139 ","57,826 ",157 ,4.8 ,52.8%
Ten Broeck Dupont ,0 ,54 ,54 ,54 ,931 ,"18,212 ",928 ,"17,899 ",50 ,19.3 ,92.1%
Ten Broeck Hospital ,0 ,82 ,82 ,82 ,"1,185 ","28,460 ","1,183 ","29,499 ",78 ,24.9 ,94.8%
University Of Louisville Hospital ,364 ,40 ,404 ,305 ,"15,281 ","100,541 ","15,305 ","100,541 ",275 ,6.6 ,68.0%
"","3,341 ",969 ,"4,310 ","3,398 ","145,982 ","909,108 ","145,775 ","926,213 ","2,484 ",6.4 ,57.6%
7 NORTHERN KY,"","","","","","","","","","",""
Northkey Community Care Intensive Serv ,0 ,51 ,51 ,30 ,424 ,"6,170 ",410 ,"6,215 ",17 ,15.2 ,33.1%
St Elizabeth Medical Center South ,436 ,44 ,480 ,480 ,"30,819 ","136,477 ","30,760 ","142,036 ",373 ,4.6 ,77.7%
St Luke Hospital East ,251 ,0 ,251 ,155 ,"6,512 ","34,789 ","6,514 ","35,032 ",95 ,5.4 ,37.9%
St Luke Hospital West ,139 ,22 ,161 ,161 ,"8,347 ","37,466 ","8,509 ","38,472 ",102 ,4.5 ,63.6%
"",826 ,117 ,943 ,826 ,"46,102 ","214,902 ","46,193 ","221,755 ",587 ,4.8 ,62.3%
8 BUFFALO TRACE,"","","","","","","","","","",""
Fleming County Hospital ,52 ,0 ,52 ,52 ,"1,708 ","7,339 ","1,708 ","7,264 ",20 ,4.3 ,38.6%
Meadowview Regional Medical Center ,101 ,0 ,101 ,86 ,"3,351 ","10,269 ","3,342 ","10,384 ",28 ,3.1 ,27.8%
St Claire Medical Center ,119 ,20 ,139 ,139 ,"5,644 ","20,817 ","5,650 ","20,782 ",57 ,3.7 ,40.9%
St Joseph Mount Sterling Hosp ,56 ,7 ,63 ,50 ,"1,832 ","7,226 ","1,828 ","7,207 ",20 ,3.9 ,31.3%
"",175 ,27 ,202 ,189 ,"7,476 ","28,043 ","7,478 ","27,989 ",77 ,3.7 ,37.9%
10 FIVCO,"","","","","","","","","","",""
Kings Daughters Medical Center ,321 ,27 ,348 ,348 ,"23,249 ","100,706 ","23,216 ","100,860 ",275 ,4.3 ,79.1%
Our Lady of Bellefonte Hospital ,174 ,16 ,190 ,190 ,"7,362 ","30,548 ","7,367 ","30,234 ",83 ,4.1 ,43.9%
Three Rivers Medical Center ,71 ,19 ,90 ,90 ,"5,009 ","17,212 ","5,009 ","17,212 ",47 ,3.4 ,52.3%
"",566 ,62 ,628 ,628 ,"35,620 ","148,466 ","35,592 ","148,306 ",406 ,4.2 ,64.6%
11 BIG SANDY,"","","","","","","","","","",""
Highlands Regional Medical Center ,154 ,12 ,166 ,127 ,"7,175 ","30,619 ","7,203 ","30,648 ",84 ,4.3 ,50.4%
Paul B Hall Regional Medical Center ,72 ,0 ,72 ,72 ,"4,202 ","16,991 ","4,185 ","16,740 ",46 ,4.0 ,64.5%
Pikeville Medical Center ,221 ,0 ,221 ,214 ,"8,588 ","37,953 ","8,562 ","37,898 ",104 ,4.4 ,46.9%
Williamson ARH Hospital ,113 ,0 ,113 ,88 ,"3,391 ","15,502 ","3,396 ","15,559 ",42 ,4.6 ,37.5%
"",560 ,12 ,572 ,501 ,"23,356 ","101,065 ","23,346 ","100,845 ",276 ,4.3 ,48.3%
12 KY RIVER,"","","","","","","","","","",""
Hazard ARH Regional Medical Center ,188 ,100 ,288 ,288 ,"12,781 ","76,042 ","12,780 ","76,585 ",208 ,6.0 ,72.1%
Kentucky River Medical Center ,55 ,0 ,55 ,55 ,"3,542 ","10,101 ","3,682 ","10,612 ",28 ,2.9 ,50.2%
Whitesburg ARH Hospital ,90 ,0 ,90 ,82 ,"3,611 ","14,152 ","3,612 ","14,235 ",39 ,3.9 ,43.0%
"",333 ,100 ,433 ,425 ,"19,934 ","100,295 ","20,074 ","101,432 ",274 ,5.1 ,63.3%
13 CUMBERLAND VALLEY,"","","","","","","","","","",""
Baptist Regional Medical Center ,162 ,44 ,206 ,206 ,"9,275 ","42,848 ","9,256 ","42,426 ",117 ,4.6 ,56.8%
Harlan ARH Hospital ,130 ,20 ,150 ,127 ,"4,368 ","15,799 ","4,335 ","15,559 ",43 ,3.6 ,28.8%
Memorial Hospital ,63 ,0 ,63 ,63 ,"3,506 ","12,468 ","3,505 ","12,844 ",34 ,3.7 ,54.1%
Middlesboro ARH Hospital ,96 ,0 ,96 ,96 ,"3,452 ","11,955 ","3,426 ","11,882 ",33 ,3.5 ,34.0%
Pineville Community Hospital ,120 ,0 ,120 ,120 ,"3,548 ","13,661 ","3,382 ","15,326 ",37 ,4.5 ,31.1%
Rockcastle Hospital ,26 ,0 ,26 ,26 ,"1,493 ","5,001 ","1,501 ","5,023 ",14 ,3.3 ,52.6%
Saint Joseph Hospital London ,89 ,0 ,89 ,89 ,"7,207 ","28,350 ","7,209 ","28,596 ",77 ,4.0 ,87.0%
"",686 ,64 ,750 ,727 ,"32,849 ","130,082 ","32,614 ","131,656 ",355 ,4.0 ,47.4%
14 LAKE CUMBERLAND,"","","","","","","","","","",""
Clinton County Hospital ,42 ,0 ,42 ,42 ,"2,234 ","9,770 ","2,235 ","9,820 ",27 ,4.4 ,63.6%
